id,title,thumbnail,short_description,game_url,genre,platform,publisher,developer,release_date,freetogame_profile_url
475,Genshin Impact,https://www.freetogame.com/g/475/thumbnail.jpg,"If you’ve been looking for a game to scratch that open-world action RPG itch, one with perhaps a bit of Asian flair, then you’re going to want to check out miHoYo’s Genshin Impact.",https://www.freetogame.com/open/genshin-impact,Action RPG,PC (Windows),miHoYo,miHoYo,2020-09-28,https://www.freetogame.com/genshin-impact
508,Enlisted,https://www.freetogame.com/g/508/thumbnail.jpg,Get ready to command your own World War II military squad in Gaijin and Darkflow Software’s MMO squad-based shooter Enlisted. ,https://www.freetogame.com/open/enlisted,Shooter,PC (Windows),Gaijin Entertainment,Darkflow Software,2021-04-08,https://www.freetogame.com/enlisted
48,Ironsight,https://www.freetogame.com/g/48/thumbnail.jpg,A free-to-play futuristic shooter published by Aeria Games. ,https://www.freetogame.com/open/ironsight,Shooter,PC (Windows),Aeria Games,Wiple Games,2018-02-01,https://www.freetogame.com/ironsight
511,Phantasy Star Online 2 New Genesis,https://www.freetogame.com/g/511/thumbnail.jpg,The legacy of Phantasy Star Online 2 continues a thousand years later!,https://www.freetogame.com/open/pso2-new-genesis,MMORPG,PC (Windows),Sega,Sega,2021-06-09,https://www.freetogame.com/pso2-new-genesis
506,Totally Accurate Battlegrounds,https://www.freetogame.com/g/506/thumbnail.jpg,"Take 60 players, throw them on a map together with over 90 weapons, including balloon crossbows, pots and pans, and inflatable hammers, add physics-based parkour and you have Landfall’s Totally Accurate Battlegrounds (TABG).",https://www.freetogame.com/open/tabg,Shooter,PC (Windows),Landfall,Landfall,2018-06-06,https://www.freetogame.com/tabg
57,Fortnite,https://www.freetogame.com/g/57/thumbnail.jpg,"A free-to-play, standalone mode of Epic Game's Fortnite. ",https://www.freetogame.com/open/fortnite-battle-royale,Shooter,PC (Windows),Epic Games,Epic Games,2017-09-26,https://www.freetogame.com/fortnite-battle-royale
466,Valorant,https://www.freetogame.com/g/466/thumbnail.jpg,Test your mettle in Riot Games’ character-based FPS shooter Valorant.,https://www.freetogame.com/open/valorant,Shooter,PC (Windows),Riot Games,Riot Games,2020-06-02,https://www.freetogame.com/valorant
509,Smash Legends,https://www.freetogame.com/g/509/thumbnail.jpg,Classic fairy tales get wild with 5minlab and LINE Games Corporation’s brawl-action game Smash Legends.,https://www.freetogame.com/open/smash-legends,Fighting,PC (Windows),LINE Games Corporation,5minlab,2021-04-13,https://www.freetogame.com/smash-legends
292,5Street,https://www.freetogame.com/g/292/thumbnail.jpg,A free-to-play dancing MMO and a unique social experience.,https://www.freetogame.com/open/5street,Social,PC (Windows),Snail Games,Snail Games,2011-11-11,https://www.freetogame.com/5street
498,Blankos Block Party,https://www.freetogame.com/g/498/thumbnail.jpg,"What happens when you take the vinyl collectible toy experience and combine it with an open-world multiplayer game? You get Blankos Block Party!
",https://www.freetogame.com/open/blankos,MMO,PC (Windows),Third Kind Games,Mythical Games Inc,2020-12-11,https://www.freetogame.com/blankos
1,Dauntless,https://www.freetogame.com/g/1/thumbnail.jpg,"A free-to-play, co-op action RPG with gameplay similar to Monster Hunter.",https://www.freetogame.com/open/dauntless,MMORPG,PC (Windows),Phoenix Labs,"Phoenix Labs, Iron Galaxy",2019-05-21,https://www.freetogame.com/dauntless
464,Shadow Arena,https://www.freetogame.com/g/464/thumbnail.jpg,"Fight your way to the top and prove you’re the best warrior, mage, sorcerer… just the best… when you’re the last person standing in Pearl Abyss’ Black Desert Online battle royale spinoff Shadow Arena.",https://www.freetogame.com/open/shadow-arena,Battle Royale,PC (Windows),Pearl Abyss,Pearl Abyss,2020-05-22,https://www.freetogame.com/shadow-arena
23,Apex Legends,https://www.freetogame.com/g/23/thumbnail.jpg,A free-to-play strategic battle royale game featuring 60-player matches and team-based play. ,https://www.freetogame.com/open/apex-legends,Shooter,PC (Windows),Electronic Arts,Electronic Arts,2019-02-04,https://www.freetogame.com/apex-legends
507,Super Mecha Champions,https://www.freetogame.com/g/507/thumbnail.jpg,"Super Mecha Champions is a PC port of the mobile anime PvP game from NetEease, featuring a variety of modes but focusing on battle royale.",https://www.freetogame.com/open/super-mecha-champions,Shooter,PC (Windows),NetEase Games,NetEase Games,2021-03-25,https://www.freetogame.com/super-mecha-champions
452,Call Of Duty: Warzone,https://www.freetogame.com/g/452/thumbnail.jpg,A standalone free-to-play battle royale and modes accessible via Call of Duty: Modern Warfare.,https://www.freetogame.com/open/call-of-duty-warzone,Shooter,PC (Windows),Activision,Infinity Ward,2020-03-10,https://www.freetogame.com/call-of-duty-warzone
8,Trove,https://www.freetogame.com/g/8/thumbnail.jpg,A free to play Sandbox massively multiplayer online role-playing game! ,https://www.freetogame.com/open/trove,MMORPG,PC (Windows),Trion Worlds,Trion Worlds,2015-07-09,https://www.freetogame.com/trove
474,Rocket League,https://www.freetogame.com/g/474/thumbnail.jpg,Get your car-soccer gaming on for free with Psyonix’s Rocket League. The popular competitive multi-player game is a popular offering with over 57 million players.,https://www.freetogame.com/open/rocket-league,Sports,PC (Windows),Psyonix LLC,Psyonix LLC,2020-09-24,https://www.freetogame.com/rocket-league
